cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_188,eab56c02-e68f-4d46-8ca1-c31e3d663556,"Haldiram - Chips Mast Masala, 38 Gram",chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_189,1cd217d5-843b-4498-a136-6b2a62ec1ddb,"Haldiram - Cookie Heaven Sweet & Salted, 350 Gram",cookie heaven sweet salted,Biscuits,Biscuits,Biscuits
cluster_189,414dd64f-b7d1-4829-8928-8e6fa009e63d,"Haldiram - Cookie Heaven Butter Salted Cookies, 560 Gram",cookie heaven butter salted,Biscuits,Biscuits,Biscuits
cluster_190,1bc72ce7-2db2-4717-aee2-28c6880bcde9,"Haldiram - Cookie Heaven Gift Pack, 260 Gram",cookie heaven gift,Biscuits,Biscuits,Biscuits
cluster_190,b739c64f-df25-4ebf-8eb1-9d38a7129acc,"Haldiram - Assorted Cookie Heaven Gift Pack, 620 Gram",assorted cookie heaven gift,Biscuits,Biscuits,Biscuits
cluster_191,00d80a37-cc09-4469-9f66-f90f2276cae9,"Haldiram - Cookie Heaven Delightful Moments, 200 Gram",cookie heaven delightful moments,Biscuits,Biscuits,Biscuits
cluster_191,ede9d9b6-a01d-441d-8114-20acbffc2137,"Haldiram - Cookie Heaven Delightful Moments, 600 Gram",cookie heaven delightful moments,Biscuits,Biscuits,Biscuits
cluster_192,a0bcd4f2-da66-4535-aa53-332686c9eba0,"Haldiram - Chips Thai Tadka Sriracha, Rs.5/-",chips thai tadka sriracha,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_192,bf10665f-3805-4288-bb96-08a5f5721d86,"Haldiram - Chips Sizzling Sriracha, Rs.5/-",chips sizzling sriracha,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_193,b5c71c0b-9d2b-48aa-82a2-cdff45345ed8,"Haldiram - Coconut Strip, 200 Gram",coconut strip,Biscuits,Biscuits,Biscuits
cluster_193,cbbe97be-238a-4155-81a5-e22d62a18bab,"Haldiram - Coconut Sticks, 200 Gram",coconut sticks,Biscuits,Biscuits,Biscuits
cluster_194,0c1c1c9d-e876-4693-b11a-b2524fda5dd3,"Haldiram - Chhoti Kachori, 500 Gram",chhoti kachori,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_194,7b8c0fdc-a098-45cc-95d2-dbec6445edc2,"Haldiram - Chhoti Kachori, 150 Gram",chhoti kachori,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_195,25fe2a7a-1772-4744-bc1e-8315cc6275dc,"Haldiram - Soya Chips, Rs.5/-",soya chips,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_195,8f115de3-262c-4226-93b8-c6e4ea532e52,"Haldiram - Soya Chips, 150 Gram",soya chips,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_195,aecb64de-788d-46fb-8659-b022fa320892,"Haldiram - Soya Stix, 150 Gram",soya stix,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_195,defd82ed-ea8f-43e6-a348-c8b523cf26ca,"Haldiram - Banana Chips, 180 Gram",banana chips,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_196,1c9a0d22-d9a1-4f4d-82a4-acfbc7c4c069,"Haldiram - Dried Pineapple Slice, 300 Gram",dried pineapple slice,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_196,9421f98a-c992-4649-ae4a-fdb0a5c2b6b7,"Haldiram - Dried Pineapple Coin, 300 Gram",dried pineapple coin,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_197,1a1e39d7-5b51-4e00-a9a3-43214a6c7d89,"Haldiram - Punjbai Tadka, 80 Gram",punjbai tadka,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_197,8f05d760-556d-40ce-a155-5ec6e28c7d3b,PUNJBAI TADKA 80 GM,punjbai tadka,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_198,388bcb44-b010-43ef-9ee3-7cf9dac4b61a,"Haldiram - Lite Mixture, 150 Gram",lite mixture,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_198,39982369-f70d-41b1-99c2-7dc324f60958,"Haldiram - Lite Mixture, Rs.10/-",lite mixture,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_198,3eec83f5-7091-4f4c-a63c-2d2eebef0512,"Haldiram - Lite Mixture, 150 Gram",lite mixture,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_198,ed117b55-e693-4350-a7f9-07619321bd0b,LITE MIXTURE 48 GM,lite mixture,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_199,145905e0-e614-426d-8f84-26f0e03d67d2,"Haldiram - Gup Shup Peanut, Rs.10/-",gup shup peanut,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_199,2bee63f5-b4ee-41de-9d95-b16cd4522bb9,"Haldiram - Gup Shup Peanuts, 200 Gram",gup shup peanuts,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_199,543cf40c-b306-4ea1-a92e-c402e2123b5c,"Haldiram - Gup Shup Peanut, Rs.5/-",gup shup peanut,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_199,64b20c50-8e26-4e35-87e9-bb802241ae9c,"Haldiram - Gup Shup Peanut (Wooden Lid Container), 200 Gram",gup shup peanut wooden lid container,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_199,73f4129c-adc9-4f0b-8cc8-ffd2e05a3fc4,"Haldiram - Gup Shup Peanut, 18 Gram",gup shup peanut,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_199,bf46a9e6-9e31-4e45-8250-55f1b1a98e81,"Haldiram - Gup Shup Peanut, 38 Gram",gup shup peanut,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_200,2383f70d-4292-423f-ba7d-8d88bab82be4,"Haldiram - Cream Onion Oats Chips, 120 Gram",cream onion oats chips,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_200,84e24261-4f09-4fdd-ab34-60770458a57b,"Haldiram - Cream Onion Oats, Rs.10/-",cream onion oats,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_200,f6943a10-5a15-4754-8c3a-2e30ca95d327,"Haldiram - Cream Onion Oats, 55 Gram",cream onion oats,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_201,4c231fe0-2fb3-4bd6-887a-767533fdee3e,"Haldiram - Mixture  Namkeen, 200 Gram",mixture namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_201,cb0d8f30-62f9-4ea5-97b2-8ec1f4537fb3,"Haldiram - Lite Mixture Namkeen, Rs.5/-",lite mixture namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_201,ebd4e117-0662-4d7f-89ec-698241150f33,"Haldiram - All In One Namkeen, Rs.10/-",all in one namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_202,6702466b-0c13-4822-9365-eda597b16252,"Haldiram - Kashmiri Mixture, Rs.10/-",kashmiri mixture,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_202,8543ad1e-8356-44e6-ab6a-0c40c0e4fbb9,"Haldiram - Kashmiri Mixture, 200 Gram",kashmiri mixture,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_202,f727c98f-f043-409b-a1fd-4363be6d5ff7,"Haldiram - Kashmiri Mixture Namkeen, 400 Gram",kashmiri mixture namkeen,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_203,54bdddf2-aedc-46f4-9e60-9be3b8e8db11,"Haldiram - Navrattan 15% Extra, 1150 Gram",navrattan extra,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_203,584f959b-b4ab-491c-b49e-7fb21bd49d8b,"Haldiram - Navrattan, 230 Gram",navrattan,Sweets/Snacks,"Sweets, Snacks",Sweets
